"id","user_profile_id","date","weight","height","created_at","updated_at"
"238","241","24/11/2022","20","120","24/11/2022 16:51:56","24/11/2022 16:51:56"
"239","242","24/1/2023","46","158.3","24/11/2022 20:18:19","24/1/2023 14:14:25"
"240","243","24/11/2022","75","168","24/11/2022 21:42:31","24/11/2022 21:42:31"
"241","244","25/11/2022","40","155","25/11/2022 06:11:46","25/11/2022 06:11:46"
"242","245","25/11/2022","45","165","25/11/2022 08:23:31","25/11/2022 08:23:31"
"243","246","25/11/2022","84","180","25/11/2022 08:25:38","25/11/2022 08:25:38"
"244","247","25/11/2022","63","158","25/11/2022 08:27:34","25/11/2022 08:27:34"
"245","248","25/11/2022","50","164","25/11/2022 08:27:56","25/11/2022 08:27:56"
"246","249","25/11/2022","45","165","25/11/2022 08:33:32","25/11/2022 08:33:32"
"247","250","25/11/2022","70","153","25/11/2022 08:38:46","25/11/2022 08:38:46"
"248","251","25/11/2022","34","137","25/11/2022 08:55:11","25/11/2022 08:55:11"
"249","252","25/11/2022","75.5","157.7","25/11/2022 09:16:13","25/11/2022 09:16:13"
"250","253","25/11/2022","46","156","25/11/2022 10:06:52","25/11/2022 10:06:52"
"251","254","25/11/2022","55","169","25/11/2022 10:46:35","25/11/2022 10:46:35"
"252","255","25/11/2022","58","163","25/11/2022 10:48:30","25/11/2022 10:48:30"
"253","256","25/11/2022","31","140","25/11/2022 10:52:20","25/11/2022 10:52:20"
"254","257","25/11/2022","66","157","25/11/2022 11:06:34","25/11/2022 11:06:34"
"255","258","25/11/2022","68","176","25/11/2022 11:33:34","25/11/2022 11:33:34"
"256","259","25/11/2022","63","155","25/11/2022 12:51:17","25/11/2022 12:51:17"
"257","260","25/11/2022","55","160","25/11/2022 13:02:31","25/11/2022 13:02:31"
"258","261","25/11/2022","48","160","25/11/2022 13:37:20","25/11/2022 13:37:20"
"259","262","25/11/2022","57","162","25/11/2022 13:43:11","25/11/2022 13:43:11"
"260","263","25/11/2022","172","57","25/11/2022 13:49:50","25/11/2022 13:49:50"
"261","264","25/11/2022","51","163","25/11/2022 13:58:32","25/11/2022 13:58:32"
"262","265","25/11/2022","47","174","25/11/2022 16:06:51","25/11/2022 16:06:51"
"263","266","25/11/2022","57","155","25/11/2022 17:59:54","25/11/2022 17:59:54"
"264","267","29/11/2022","169","61","25/11/2022 18:58:24","29/11/2022 19:59:13"
"265","268","27/11/2022","65","159","27/11/2022 11:46:47","27/11/2022 11:46:47"
"266","269","27/11/2022","22","135","27/11/2022 12:37:03","27/11/2022 12:37:03"
"267","270","27/11/2022","62","158","27/11/2022 13:11:04","27/11/2022 13:11:04"
"268","271","27/11/2022","53","158","27/11/2022 18:09:28","27/11/2022 18:09:28"
"269","272","27/11/2022","55","160","27/11/2022 18:35:18","27/11/2022 18:35:18"
"270","273","28/11/2022","69","159","28/11/2022 20:23:02","28/11/2022 20:23:02"
"271","274","30/11/2022","60","158","30/11/2022 13:07:22","30/11/2022 13:07:22"
"272","275","1/12/2022","55","172","1/12/2022 11:08:24","1/12/2022 11:08:24"
"273","276","1/12/2022","41","169","1/12/2022 11:56:30","1/12/2022 11:56:30"
"274","277","2/12/2022","38","146.4","2/12/2022 10:08:16","2/12/2022 10:08:16"
"275","278","2/12/2022","75","170","2/12/2022 14:15:16","2/12/2022 14:15:16"
"276","279","4/12/2022","72","170","4/12/2022 08:41:17","4/12/2022 08:41:17"
"277","280","4/12/2022","52","151","4/12/2022 09:21:49","4/12/2022 09:21:49"
"278","281","4/12/2022","43","140","4/12/2022 14:14:11","4/12/2022 14:14:11"
"279","282","4/12/2022","68","158","4/12/2022 14:15:29","4/12/2022 14:15:29"
"280","283","4/12/2022","24","129","4/12/2022 17:57:17","4/12/2022 17:57:17"
"281","284","4/12/2022","47","163","4/12/2022 19:19:44","4/12/2022 19:19:44"
"282","285","4/12/2022","10","75","4/12/2022 21:00:20","4/12/2022 21:00:20"
"283","286","6/12/2022","38","152","6/12/2022 09:50:46","6/12/2022 09:50:46"
"284","287","10/12/2022","38","146","6/12/2022 19:12:20","10/12/2022 11:29:55"
"285","288","8/12/2022","73","174","8/12/2022 12:52:05","8/12/2022 12:52:05"
"286","289","8/12/2022","41","136","8/12/2022 19:32:46","8/12/2022 19:32:46"
"287","290","10/12/2022","56","160","10/12/2022 10:06:23","10/12/2022 10:06:23"
"288","291","12/12/2022","46","166","12/12/2022 15:04:11","12/12/2022 15:04:11"
"289","292","12/12/2022","89","167","12/12/2022 21:51:54","12/12/2022 21:51:54"
"290","293","14/12/2022","16","110","14/12/2022 17:11:51","14/12/2022 17:11:51"
"291","294","15/12/2022","21","125","15/12/2022 13:36:02","15/12/2022 13:36:02"
"292","295","15/12/2022","46","162","15/12/2022 18:47:20","15/12/2022 18:47:20"
"293","296","17/12/2022","39","145","16/12/2022 12:57:57","17/12/2022 08:50:22"
"294","297","16/12/2022","42","151","16/12/2022 13:19:47","16/12/2022 13:19:47"
"295","298","16/12/2022","57","176","16/12/2022 15:50:19","16/12/2022 15:50:19"
"296","299","16/12/2022","64","167","16/12/2022 16:11:13","16/12/2022 16:11:13"
"297","300","16/12/2022","45","152","16/12/2022 16:11:15","16/12/2022 16:11:15"
"298","301","17/12/2022","61.3","156","17/12/2022 08:29:17","17/12/2022 08:29:17"
"299","302","19/12/2022","67","160","19/12/2022 18:30:09","19/12/2022 18:30:09"
"300","303","20/12/2022","75","165","20/12/2022 05:09:58","20/12/2022 05:09:58"
"301","304","22/12/2022","53","166","22/12/2022 23:07:48","22/12/2022 23:07:48"
"302","305","23/12/2022","48","156","23/12/2022 21:54:50","23/12/2022 21:54:50"
"303","306","2/1/2023","26","135","2/1/2023 19:38:49","2/1/2023 19:38:49"
"304","307","5/1/2023","37.3","141","5/1/2023 11:09:09","5/1/2023 11:09:09"
"305","308","6/1/2023","65","158","6/1/2023 14:00:06","6/1/2023 14:00:06"
"306","309","6/1/2023","72","173","6/1/2023 14:01:44","6/1/2023 14:01:44"
"307","310","6/1/2023","55","159","6/1/2023 14:11:35","6/1/2023 14:11:35"
"308","311","6/1/2023","73","170","6/1/2023 14:25:16","6/1/2023 14:25:16"
"309","312","16/2/2023","152","52","10/1/2023 12:33:32","16/2/2023 10:00:15"
"310","313","10/1/2023","55.7","155","10/1/2023 14:29:43","10/1/2023 14:29:43"
"311","314","14/1/2023","60","155","14/1/2023 17:50:32","14/1/2023 17:50:32"
"312","315","19/1/2023","43","150","19/1/2023 20:00:14","19/1/2023 20:00:14"
"313","316","20/1/2023","60","164","20/1/2023 09:12:59","20/1/2023 09:12:59"
"314","317","25/1/2023","158","57","25/1/2023 15:17:17","25/1/2023 15:17:17"
"315","318","26/1/2023","55","164","26/1/2023 12:54:19","26/1/2023 12:54:19"
"316","319","26/1/2023","58","152","26/1/2023 16:11:07","26/1/2023 16:11:07"
"317","320","26/1/2023","36","155","26/1/2023 18:17:43","26/1/2023 18:17:43"
"318","321","30/1/2023","79.7","143.5","30/1/2023 13:47:30","30/1/2023 13:47:30"
"319","322","1/2/2023","70","154","1/2/2023 14:42:29","1/2/2023 14:42:29"
"320","323","1/2/2023","60","165","1/2/2023 15:48:22","1/2/2023 15:48:22"
"321","324","11/2/2023","40","158","11/2/2023 11:20:47","11/2/2023 11:20:47"
